import time: self [us] | cumulative | imported package
import time:      4095 |       5504 |       urllib.request
import time:       454 |        454 |       jwt.jwk_set_cache
import time:       422 |       6380 |     jwt.jwks_client
import time:       464 |      32687 |   jwt
import time:       706 |        706 |         multidict._abc
import time:      1469 |       1469 |             _wmi
import time:       886 |       2354 |           platform
import time:       805 |        805 |           multidict._multidict
import time:       587 |       3746 |         multidict._compat
import time:       434 |       4886 |       multidict
import time:       691 |       5576 |     aiohttp.hdrs
import time:        80 |         80 |             _heapq
import time:       967 |       1046 |           heapq
import time:       613 |        613 |           asyncio.constants
import time:       896 |        896 |           asyncio.coroutines
import time:       909 |        909 |             asyncio.format_helpers
import time:       837 |        837 |               asyncio.base_futures
import time:       608 |        608 |               asyncio.exceptions
import time:       868 |        868 |               asyncio.base_tasks
import time:       668 |       2979 |             _asyncio
import time:      3777 |       7664 |           asyncio.events
import time:      2055 |       2055 |           asyncio.futures
import time:       852 |        852 |           asyncio.protocols
import time:      1350 |       1350 |             asyncio.transports
import time:       345 |        345 |             asyncio.log
import time:      4408 |       6102 |           asyncio.sslproto
import time:       437 |        437 |               asyncio.mixins
import time:      2920 |       3357 |             asyncio.locks
import time:      1670 |       1670 |               asyncio.queues
import time:      1335 |       1335 |               asyncio.timeouts
import time:      5124 |       8129 |             asyncio.tasks
import time:      1029 |      12514 |           asyncio.staggered
import time:       791 |        791 |           asyncio.trsock
import time:     14428 |      46958 |         asyncio.base_events
import time:      1402 |       1402 |         asyncio.runners
import time:      3871 |       3871 |         asyncio.streams
import time:      1701 |       1701 |         asyncio.subprocess
import time:      1700 |       1700 |         asyncio.taskgroups
import time:       827 |        827 |         asyncio.threads
import time:      1053 |       1053 |           _overlapped
import time:      2300 |       2300 |           asyncio.base_subprocess
import time:      6460 |       6460 |           asyncio.proactor_events
import time:      7910 |       7910 |           asyncio.selector_events
import time:      1563 |       1563 |           asyncio.windows_utils
import time:      6927 |      26212 |         asyncio.windows_events
import time:       735 |      83402 |       asyncio
import time:       326 |        326 |           attr._compat
import time:       318 |        318 |             attr._config
import time:       425 |        425 |               attr.exceptions
import time:       541 |        965 |             attr.setters
import time:      3324 |       4607 |           attr._make
import time:       484 |       5416 |         attr.converters
import time:       685 |        685 |         attr.filters
import time:      3030 |       3030 |         attr.validators
import time:       346 |        346 |         attr._cmp
import time:       341 |        341 |         attr._funcs
import time:       312 |        312 |         attr._next_gen
import time:       616 |        616 |         attr._version_info
import time:       807 |      11549 |       attr
import time:       806 |        806 |               yarl._quoting_c
import time:       373 |       1179 |             yarl._quoting
import time:       433 |       1611 |           yarl._quoters
import time:       586 |       2197 |         yarl._query
import time:       518 |        518 |             propcache
import time:       468 |        468 |               propcache._helpers_c
import time:       286 |        753 |             propcache._helpers
import time:       360 |       1630 |           propcache.api
import time:       365 |        365 |           yarl._parse
import time:       267 |        267 |           yarl._path
import time:      1451 |       3712 |         yarl._url
import time:       409 |       6317 |       yarl
import time:       530 |        530 |           aiohttp.typedefs
import time:       501 |       1031 |         aiohttp.http_exceptions
import time:      1138 |       1138 |             aiohttp.client_exceptions
import time:      1784 |       1784 |               netrc
import time:     15192 |      15192 |                   email._header_value_parser
import time:      3619 |      18811 |                 email.headerregistry
import time:      1964 |       1964 |                 email.contentmanager
import time:      1463 |      22237 |               email.policy
import time:       893 |        893 |               aiohttp.log
import time:     74859 |      99772 |             aiohttp.helpers
import time:       553 |        553 |             aiohttp.tcp_helpers
import time:       855 |     102315 |           aiohttp.base_protocol
import time:       178 |        178 |             brotlicffi
import time:       132 |        132 |             brotli
import time:       175 |        175 |               backports
import time:        16 |        191 |             backports.zstd
import time:       748 |       1247 |           aiohttp.compression_utils
import time:      1391 |       1391 |               aiohttp._cookie_helpers
import time:      1149 |       2540 |             aiohttp.abc
import time:       525 |        525 |             aiohttp._http_writer
import time:       899 |       3963 |           aiohttp.http_writer
import time:       918 |        918 |           aiohttp.streams
import time:       807 |        807 |           aiohttp._http_parser
import time:      1981 |     111229 |         aiohttp.http_parser
import time:       498 |        498 |             aiohttp._websocket
import time:      1236 |       1236 |             aiohttp._websocket.models
import time:       474 |        474 |             aiohttp._websocket.mask
import time:       970 |       3176 |           aiohttp._websocket.helpers
import time:       586 |        586 |             aiohttp._websocket.reader_c
import time:       335 |        920 |           aiohttp._websocket.reader
import time:       390 |        390 |           aiohttp._websocket.writer
import time:       473 |       4958 |         aiohttp.http_websocket
import time:       395 |     117612 |       aiohttp.http
import time:      1099 |       1099 |       aiohttp.payload
import time:      1356 |       1356 |           aiohttp.multipart
import time:       496 |        496 |           aiohttp.formdata
import time:      2088 |       3939 |         aiohttp.client_reqrep
import time:       329 |       4268 |       aiohttp.client_middlewares
import time:      1142 |       1142 |       aiohttp.client_ws
import time:       365 |        365 |             aiohappyeyeballs._staggered
import time:       352 |        352 |             aiohappyeyeballs.types
import time:       513 |       1228 |           aiohappyeyeballs.impl
import time:       640 |        640 |           aiohappyeyeballs.utils
import time:       435 |       2302 |         aiohappyeyeballs
import time:       641 |        641 |         aiohttp.client_proto
import time:       187 |        187 |           aiodns
import time:       673 |        860 |         aiohttp.resolver
import time:     16285 |      20087 |       aiohttp.connector
import time:       515 |        515 |           _compat_pickle
import time:       108 |        108 |           _pickle
import time:      1171 |       1793 |         pickle
import time:      1622 |       3414 |       aiohttp.cookiejar
import time:       634 |        634 |             frozenlist._frozenlist
import time:       529 |       1163 |           frozenlist
import time:       684 |       1846 |         aiosignal
import time:      6186 |       8032 |       aiohttp.tracing
import time:      2357 |     259275 |     aiohttp.client
import time:       934 |        934 |     aiohttp.client_middleware_digest_auth
import time:       560 |        560 |     aiohttp.payload_streamer
import time:       555 |     266898 |   aiohttp
import time:       583 |        583 |             _queue
import time:       542 |       1124 |           queue
import time:       686 |       1810 |         logging.handlers
import time:       849 |        849 |         socketserver
import time:      1106 |       3764 |       logging.config
import time:      1233 |       1233 |       configparser
import time:       745 |        745 |           gettext
import time:       868 |        868 |                   _ctypes
import time:       620 |        620 |                   ctypes._endian
import time:      1268 |       2755 |                 ctypes
import time:       662 |        662 |                 ctypes.wintypes
import time:      4343 |       7758 |               click._winconsole
import time:       652 |       8410 |             click._compat
import time:       387 |        387 |               click.globals
import time:       511 |        511 |               click.utils
import time:      1143 |       2040 |             click.exceptions
import time:       842 |      11290 |           click.types
import time:       470 |        470 |             click.parser
import time:       432 |        902 |           click.formatting
import time:       479 |        479 |           click.termui
import time:      1412 |      14827 |         click.core
import time:       472 |        472 |         click.decorators
import time:       508 |      15806 |       click
import time:       313 |        313 |       uvicorn._compat
import time:      2062 |       2062 |       uvicorn._types
import time:       568 |        568 |       uvicorn.importer
import time:       635 |        635 |       uvicorn.logging
import time:       313 |        313 |         uvicorn.middleware
import time:       416 |        729 |       uvicorn.middleware.asgi2
import time:       309 |        309 |       uvicorn.middleware.message_logger
import time:       330 |        330 |       uvicorn.middleware.proxy_headers
import time:       175 |        175 |         a2wsgi
import time:       382 |        556 |       uvicorn.middleware.wsgi
import time:       693 |      26994 |     uvicorn.config
import time:       397 |        397 |       uvicorn.server
import time:      2258 |       2258 |                 multiprocessing.process
import time:      1886 |       1886 |                 multiprocessing.reduction
import time:      3029 |       7172 |               multiprocessing.context
import time:       558 |       7729 |             multiprocessing
import time:      2501 |       2501 |               multiprocessing.util
import time:       612 |        612 |               _multiprocessing
import time:      6291 |       9403 |             multiprocessing.connection
import time:       279 |      17411 |           uvicorn._subprocess
import time:       387 |      17797 |         uvicorn.supervisors.basereload
import time:       606 |        606 |         uvicorn.supervisors.multiprocess
import time:       510 |        510 |             watchfiles.filters
import time:       424 |        424 |               watchfiles._rust_notify
import time:       827 |       1250 |             watchfiles.main
import time:       588 |        588 |             watchfiles.run
import time:       321 |        321 |             watchfiles.version
import time:       419 |       3086 |           watchfiles
import time:       617 |       3703 |         uvicorn.supervisors.watchfilesreload
import time:       320 |      22425 |       uvicorn.supervisors
import time:       871 |      23691 |     uvicorn.main
import time:       412 |      51096 |   uvicorn
import time:       396 |        396 |             aiosmtplib.response
import time:       335 |        335 |               aiosmtplib.auth
import time:      2541 |       2541 |                 email.generator
import time:       342 |       2882 |               aiosmtplib.email
import time:       484 |        484 |               aiosmtplib.errors
import time:       613 |        613 |               aiosmtplib.esmtp
import time:       816 |        816 |                 aiosmtplib.typing
import time:       693 |       1509 |               aiosmtplib.protocol
import time:       996 |       6816 |             aiosmtplib.smtp
import time:       428 |       7639 |           aiosmtplib.api
import time:       387 |       8026 |         aiosmtplib
import time:        18 |       8043 |       aiosmtplib.api
import time:       561 |        561 |         jinja2.bccache
import time:       547 |        547 |             markupsafe._speedups
import time:       630 |       1177 |           markupsafe
import time:      1742 |       1742 |             jinja2.utils
import time:      2134 |       3876 |           jinja2.nodes
import time:       762 |        762 |             jinja2.exceptions
import time:       384 |        384 |               jinja2.visitor
import time:       817 |       1200 |             jinja2.idtracking
import time:       329 |        329 |             jinja2.optimizer
import time:      1456 |       3746 |           jinja2.compiler
import time:       557 |        557 |               jinja2.async_utils
import time:      1299 |       1299 |               jinja2.runtime
import time:      1236 |       3092 |             jinja2.filters
import time:       410 |        410 |             jinja2.tests
import time:       343 |       3844 |           jinja2.defaults
import time:      1335 |       1335 |             jinja2._identifier
import time:      1745 |       3079 |           jinja2.lexer
import time:      1222 |       1222 |           jinja2.parser
import time:      2151 |      19091 |         jinja2.environment
import time:      1146 |       1146 |         jinja2.loaders
import time:       489 |      21286 |       jinja2
import time:       384 |        384 |         pydantic_settings.exceptions
import time:      1201 |       1201 |           argparse
import time:       382 |        382 |             pydantic._internal._dataclasses
import time:       439 |        820 |           pydantic.dataclasses
import time:       380 |        380 |               pydantic_settings.utils
import time:       570 |        570 |               pydantic_settings.sources.types
import time:      1161 |       1161 |               pydantic_settings.sources.utils
import time:       826 |       2936 |             pydantic_settings.sources.base
import time:       354 |        354 |                   pydantic_settings.sources.providers.env
import time:       463 |        817 |                 pydantic_settings.sources.providers.aws
import time:       275 |        275 |                   pydantic.alias_generators
import time:       379 |        654 |                 pydantic_settings.sources.providers.azure
import time:      1970 |       1970 |                 pydantic_settings.sources.providers.cli
import time:      1471 |       1471 |                       dotenv.parser
import time:       582 |        582 |                       dotenv.variables
import time:       884 |       2937 |                     dotenv.main
import time:       615 |       3551 |                   dotenv
import time:       380 |       3931 |                 pydantic_settings.sources.providers.dotenv
